,Pet Simulator 99,Grow a Garden,PETS GO!,SpongeBob Tower Defense,Adopt Me,Murder Mystery 2,ROBUX,RIVALS,Toilet Tower Defense,Dress To Impress,Fisch,Bubble Gum Simulator INFINITY,Blade Ball,King Legacy,Bee Swarm Simulator
03-03,56.1,0.0,11.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.3
10-03,51.4,0.0,2.22,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
17-03,43.6,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,31.4,0.0,2.08,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,30.1,0.0,3.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0
07-04,65.2,0.0,1.92,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,140.0,0.0,1.31,0.25,0.0,0.35,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,42.8,0.0,3.54,0.01,0.0,7.85,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
28-04,116.0,0.0,4.8,9.8,0.4,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
05-05,70.0,0.0,0.66,12.6,6.93,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
12-05,84.9,0.0,14.5,0.0,0.44,0.0,0.0,0.0,0.0,4.5,1.31,1.0,0.0,0.0,0.0
19-05,14.9,0.0,1.11,0.0,10.6,1.2,10.0,0.0,0.0,0.0,0.25,0.06,0.0,0.0,0.0
26-05,14.7,11.3,0.09,3.72,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-06,72.6,32.5,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
09-06,8.35,15.3,1.76,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумма,842.0500000000001,59.099999999999994,54.029999999999994,43.480000000000004,37.67,15.599999999999998,10.0,8.0,5.0,4.5,3.2800000000000002,2.06,0.9,0.45,0.3
